,participantId,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,gameDuration,gameCreation,championId,gameId,teamId,team1dmg,team2dmg,dmgShare,duo
20,10,True,3109,3158,3065,3194,3801,3116,2052,8,7,30,4,2,2,353,1,0,0,0,0,45284,35357,8766,1159,0,18054,15048,2146,859,33568,5,78563,3213,3213,0,69,51247,24153,23137,3956,14035,13050,2,0,28,0,196,18,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,1236,0,0,8446,2007,0,0,8429,65,18,17,8451,317,0,0,8014,403,0,0,9111,2768,380,0,8400,8000,5008.0,5008.0,5001.0,1410,1585697126035,12,4496776308,200,194355,123802,0.14582963118527972,0
21,7,True,3285,1052,3020,1027,3089,0,2052,9,4,18,4,2,2,284,1,0,0,0,0,27101,14754,12346,0,0,11055,8303,2751,0,3517,1,3393,547,547,0,0,9286,5250,3956,80,9516,8785,0,1,26,0,0,14,0,0,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8128,791,16,906,8139,774,0,0,8138,30,0,0,8135,1452,5,0,9111,562,270,0,8014,404,0,0,8100,8000,5005.0,5008.0,5001.0,752,1585696077599,145,4496773574,200,52887,64336,0.17183225565779656,0
22,5,True,2051,3047,3075,3029,3116,1031,2052,9,7,21,3,1,2,196,0,0,0,0,0,35994,29110,5323,1559,36,17967,14772,1818,1376,3155,1,31896,992,992,0,45,25755,9245,16025,484,14152,11100,0,2,21,0,227,18,0,0,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,744,0,0,8446,297,0,0,8429,60,22,12,8451,277,0,0,8014,495,0,0,9111,1321,300,0,8400,8000,5008.0,5008.0,5001.0,1206,1585694398160,32,4496609848,100,104052,125052,0.17267327874524277,0
23,4,False,3076,3047,3742,3083,3053,1028,2052,10,13,22,2,1,2,150,0,0,0,0,0,32875,16869,14899,1107,11,16783,7765,7911,1107,3149,1,40922,856,856,0,37,44350,15387,18722,10240,13545,13050,0,0,20,0,361,18,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437,1037,912,0,8446,536,0,0,8429,64,20,12,8451,305,0,0,8014,587,0,0,9111,1403,320,0,8400,8000,5008.0,5008.0,5001.0,1344,1585692881596,106,4496634266,100,142246,132455,0.11798574300859076,0
24,6,False,3198,3157,1058,3100,1052,3020,2052,7,7,18,3,1,2,353,0,0,0,0,0,93529,89867,3399,263,0,28866,28271,368,226,1708,1,11586,1329,1329,0,42,16813,9387,7090,336,12978,12135,0,0,84,0,383,17,0,0,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,2743,0,0,8226,250,751,0,8210,0,0,0,8236,48,0,0,9111,715,250,0,8014,593,0,0,8200,8000,5007.0,5008.0,5001.0,1233,1585681205273,112,4495775251,200,114315,115371,0.25020152377980603,0
25,10,False,3285,3157,3020,3135,3151,1052,2052,11,8,22,4,2,2,312,2,0,0,0,0,94130,91908,1479,742,0,31726,30670,313,742,4830,1,11117,224,224,0,156,21023,8836,11316,870,14163,13585,0,0,66,0,388,18,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,2190,0,0,8226,250,701,0,8210,20,0,0,8236,48,0,0,9111,919,330,0,8014,869,0,0,8200,8000,5007.0,5008.0,5001.0,1299,1585676285277,9,4495584978,200,125200,139210,0.2279002945190719,0
26,4,False,3285,2421,1001,3029,3108,0,2052,4,5,16,2,1,1,334,0,0,0,0,0,28167,26183,1983,0,0,9262,8503,759,0,1283,1,3952,102,102,0,49,9665,3006,5281,1377,9064,7750,0,0,30,0,128,13,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,1069,0,0,8226,250,357,0,8210,14,0,0,8236,24,0,0,9111,509,200,0,8014,219,0,0,8200,8000,5007.0,5008.0,5001.0,811,1585612655638,99,4494290440,100,58963,65586,0.1570815596221359,0
27,2,True,3905,3157,3020,3151,3198,1058,2052,9,7,23,3,1,1,414,0,0,0,0,0,101862,93029,5698,3135,0,25614,25290,323,0,3302,1,11991,1373,1373,0,28,20864,14165,6022,676,15682,14000,2,1,100,0,317,18,0,0,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,2236,0,0,8226,250,836,0,8210,0,0,0,8236,80,0,0,9111,1449,320,0,8014,818,0,0,8200,8000,5007.0,5008.0,5001.0,1469,1585604239610,112,4494094900,100,143325,126755,0.178712715855573,0
28,2,True,3109,1001,3075,2051,3010,0,2052,6,9,36,2,2,2,224,1,0,0,0,0,29575,22766,5408,1401,29,13491,10015,2075,1401,17121,5,48822,1093,1093,0,73,35472,2891,28528,4052,11330,7600,0,0,22,0,297,18,0,0,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437,1197,1206,0,8446,725,0,0,8429,55,22,12,8451,249,0,0,8014,355,0,0,9111,2844,420,0,8400,8000,5008.0,5008.0,5001.0,1085,1585588245086,12,4492987176,100,132190,97727,0.1020576442998714,0
29,6,False,3147,3142,3008,3158,1053,3133,2052,7,8,14,4,2,1,360,1,0,0,0,0,93583,4537,70133,18912,0,24252,1383,22456,412,5120,1,10928,0,0,0,4,20865,16008,4515,341,13456,12200,0,0,55,0,76,18,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8128,914,16,1006,8139,1480,0,0,8138,18,0,0,8135,1573,5,0,9111,778,210,0,8014,398,0,0,8100,8000,5005.0,5008.0,5001.0,1283,1585586751759,126,4492981115,200,115040,81795,0.29649734091325874,0
