,win,championId,champion,kills,deaths,assists,item0,item1,item2,item3,item4,item5,KDA,largestMultiKill,totalDamageDealtToChampions,totalHeal,damageDealtToTurrets,totalDamageTaken,goldEarned,totalMinionsKilled,gameDuration,dmgShare,numberOfGames
114,49.6,157,Yasuo,9.1,10.5,15.6,2956.4,2864.4,2806.1,2666.9,1926.1,1174.3,2.6,2.0,20465.1,4213.8,874.0,25266.6,12536.4,64.6,19.5,18.3,714
115,49.6,161,Velkoz,8.5,7.8,22.5,3153.9,2925.2,2839.7,2516.4,1740.3,974.8,4.9,1.7,29068.4,2484.0,885.4,18432.4,12730.4,47.9,20.5,24.2,1222
116,54.4,163,Taliyah,9.1,9.4,21.3,3080.0,2957.5,2938.9,2574.6,1928.1,1005.9,3.9,1.8,28874.9,4969.2,1105.9,24874.6,12854.8,51.8,20.5,23.1,241
117,46.1,164,Camille,9.4,10.9,16.7,2990.8,3062.3,2957.6,2720.2,1741.9,946.3,2.6,1.9,20795.8,4760.6,995.0,30945.0,12099.6,28.0,19.7,17.6,165
118,43.3,201,Braum,3.3,8.1,26.3,2784.9,2964.7,2928.2,2695.4,2150.1,1314.8,4.2,1.1,10693.1,3646.8,575.1,29869.3,10791.1,13.4,19.7,10.1,494
119,49.8,202,Jhin,11.1,7.5,20.3,2982.6,2880.9,2887.5,2669.8,2031.8,1258.1,5.2,2.0,27752.8,4752.0,1901.6,20115.3,13545.5,70.2,20.1,23.8,1364
120,45.4,203,Kindred,9.5,9.3,16.9,2935.9,2880.4,2778.3,2592.4,1882.1,1015.2,3.2,1.9,21437.6,9350.3,1971.6,23068.9,12313.9,61.1,18.8,20.3,348
121,52.5,222,Jinx,10.3,8.4,19.2,2988.3,2915.7,2877.3,2646.4,1929.5,1229.9,4.1,2.1,25500.2,3114.6,2191.8,20146.7,13110.2,68.0,19.6,22.6,1320
122,45.8,223,TahmKench,6.1,7.2,20.9,2797.7,3014.4,2892.3,2709.3,2109.8,1272.9,4.3,1.5,16699.1,11164.7,1190.1,36697.9,11580.5,27.6,19.8,14.6,203
123,48.8,235,Senna,8.6,7.0,26.8,3024.0,2935.9,2905.8,2796.9,2145.8,1343.3,6.3,1.7,23603.0,11284.3,1578.5,20277.0,12658.1,35.1,19.9,20.5,725
124,48.5,236,Lucian,10.6,9.1,16.5,3093.3,2908.8,2871.2,2594.9,1993.1,1237.3,3.4,2.1,24952.2,3548.1,1766.4,21792.7,12938.0,67.4,19.3,22.6,1173
125,44.7,238,Zed,11.8,10.3,14.7,3083.4,2986.9,3018.3,2987.4,2365.3,1551.9,2.9,2.0,25569.6,3646.1,696.9,23292.3,13045.3,43.2,20.4,21.7,1054
126,56.0,240,Kled,9.3,8.6,21.8,3018.5,3057.7,3102.1,2822.6,2294.2,1393.9,3.9,1.8,22404.1,6696.1,1387.7,41821.7,12817.7,43.2,20.0,17.9,109
127,47.3,245,Ekko,10.3,9.9,18.0,3050.0,2967.3,2923.7,2746.9,2060.0,1215.7,3.1,1.9,23266.5,8635.3,1032.9,30235.4,12743.2,49.4,20.1,19.7,1026
128,45.3,246,Qiyana,12.9,9.7,14.4,3091.0,3046.4,3095.8,3014.4,2338.1,1483.1,3.2,2.3,26796.1,4149.5,973.4,23665.8,12991.4,40.0,20.0,23.2,382
129,52.7,254,Vi,9.0,11.1,16.5,3015.1,2954.5,2876.2,2543.9,1907.9,1179.1,2.6,1.9,21368.1,3366.1,1068.3,29683.4,12299.8,35.0,20.3,18.1,220
130,46.4,266,Aatrox,8.0,9.3,16.0,2996.3,2863.0,2932.5,2791.3,2087.4,1107.0,3.0,1.8,20403.8,14330.8,774.5,37906.7,11906.4,35.4,19.7,18.2,704
131,54.7,267,Nami,4.4,6.4,31.1,3102.1,3003.4,2948.0,2709.5,1917.8,1105.5,7.0,1.3,14421.1,12210.6,952.1,17486.4,11386.9,20.1,19.9,12.9,541
132,45.1,268,Azir,9.3,10.4,17.1,3024.0,2983.8,2885.9,2689.2,1881.6,1209.5,2.8,1.9,25916.0,2659.5,1697.1,23074.3,12763.2,65.0,19.9,22.2,446
